Palavra,Contagem
thiago,2
de,7
araujo,1
é,1
um,1
profissional,1
com,4
mais,1
10,1
anos,1
experiência,2
em,9
suporte,1
e,12
infraestrutura,4
ampla,1
atuação,1
cloud,3
computing,1
aws,1
azure,1
google,1
oracle,1
especialização,1
monitoramento,1
grafana,1
zabbix,1
sua,1
trajetória,1
inclui,1
cargos,1
como,3
analista,1
sre,1
pleno,1
onde,1
atuou,1
empresas,1
a,2
upflux,1
focando,1
na,2
operação,1
administração,1
resiliência,1
segurança,2
ambientes,2
nuvem,1
utilizando,1
kubernetes,2
docker,2
também,1
trabalhou,1
dígitro,1
mantendo,1
do,1
noc,1
saas,1
possui,1
linux,1
automação,2
devops,2
bancos,1
dados,1
especialmente,1
postgresql,1
mongodb,1
além,2
disso,1
tem,1
conhecimentos,1
data,1
warehouse,1
sql,1
certificação,1
business,1
intelligence,1
foundation,1
professional,1
certification,1
bifpc™,1
recentemente,1
demonstrou,1
interesse,1
finops,1
código,1
iac,1
ansible,1
